model,split,n_train,n_test,accuracy
GPC,seed00,140,36,0.9444444444444444
k-NN,seed00,140,36,0.8055555555555556
SVM,seed00,140,36,0.9722222222222222
RF,seed00,140,36,0.6944444444444444
GPC,seed01,140,36,1.0
k-NN,seed01,140,36,0.75
SVM,seed01,140,36,0.9166666666666666
RF,seed01,140,36,0.6944444444444444
GPC,seed02,140,36,0.9166666666666666
k-NN,seed02,140,36,0.7777777777777778
SVM,seed02,140,36,0.9166666666666666
RF,seed02,140,36,0.8055555555555556
GPC,seed03,140,36,0.9444444444444444
k-NN,seed03,140,36,0.8611111111111112
SVM,seed03,140,36,0.9444444444444444
RF,seed03,140,36,0.6944444444444444
GPC,seed04,140,36,1.0
k-NN,seed04,140,36,0.9722222222222222
SVM,seed04,140,36,1.0
RF,seed04,140,36,0.8611111111111112
GPC,seed05,140,36,0.9722222222222222
k-NN,seed05,140,36,0.8611111111111112
SVM,seed05,140,36,1.0
RF,seed05,140,36,0.7777777777777778
GPC,seed06,140,36,0.8888888888888888
k-NN,seed06,140,36,0.8055555555555556
SVM,seed06,140,36,1.0
RF,seed06,140,36,0.6944444444444444
GPC,seed07,140,36,0.8888888888888888
k-NN,seed07,140,36,0.8055555555555556
SVM,seed07,140,36,0.9166666666666666
RF,seed07,140,36,0.6944444444444444
GPC,seed08,140,36,0.9722222222222222
k-NN,seed08,140,36,0.8611111111111112
SVM,seed08,140,36,1.0
RF,seed08,140,36,0.75
GPC,seed09,140,36,0.9722222222222222
k-NN,seed09,140,36,0.8611111111111112
SVM,seed09,140,36,1.0
RF,seed09,140,36,0.8333333333333334
GPC,seed10,140,36,0.9166666666666666
k-NN,seed10,140,36,0.9166666666666666
SVM,seed10,140,36,0.9444444444444444
RF,seed10,140,36,0.6944444444444444
GPC,seed11,140,36,0.9722222222222222
k-NN,seed11,140,36,0.9166666666666666
SVM,seed11,140,36,0.9444444444444444
RF,seed11,140,36,0.75
GPC,seed12,140,36,0.9444444444444444
k-NN,seed12,140,36,0.8055555555555556
SVM,seed12,140,36,0.9444444444444444
RF,seed12,140,36,0.7222222222222222
GPC,seed13,140,36,0.9166666666666666
k-NN,seed13,140,36,0.9166666666666666
SVM,seed13,140,36,0.9722222222222222
RF,seed13,140,36,0.8333333333333334
GPC,seed14,140,36,0.8888888888888888
k-NN,seed14,140,36,0.8055555555555556
SVM,seed14,140,36,0.9166666666666666
RF,seed14,140,36,0.7222222222222222
GPC,seed15,140,36,0.9166666666666666
k-NN,seed15,140,36,0.8055555555555556
SVM,seed15,140,36,0.9444444444444444
RF,seed15,140,36,0.6944444444444444
GPC,seed16,140,36,0.9166666666666666
k-NN,seed16,140,36,0.8055555555555556
SVM,seed16,140,36,0.9166666666666666
RF,seed16,140,36,0.75
GPC,seed17,140,36,1.0
k-NN,seed17,140,36,0.75
SVM,seed17,140,36,0.9722222222222222
RF,seed17,140,36,0.8055555555555556
GPC,seed18,140,36,0.9444444444444444
k-NN,seed18,140,36,0.8611111111111112
SVM,seed18,140,36,0.9722222222222222
RF,seed18,140,36,0.7222222222222222
GPC,seed19,140,36,0.9166666666666666
k-NN,seed19,140,36,0.9166666666666666
SVM,seed19,140,36,0.9722222222222222
RF,seed19,140,36,0.7777777777777778
