hidden_sizes,activation,val_nMSE_Strength,val_nMSE_Toughness,val_nMSE_average
[16],ReLU,0.3252641104625399,0.6881944542885413,0.5067292823755406
[16],Tanh,0.12785761432908901,0.4934663678297821,0.31066199107943554
[16],Sigmoid,0.36247363316914205,0.7167131704207147,0.5395934017949284
[32],ReLU,0.1450196483454557,0.6501569584552075,0.3975883034003316
[32],Tanh,0.1884685123960852,1.9038174356118096,1.0461429740039474
[32],Sigmoid,0.21103794597289446,0.7737049465463258,0.49237144625961016
"[16, 16]",ReLU,0.18582001759293168,0.44804000769363644,0.3169300126432841
"[16, 16]",Tanh,0.22276729483097016,0.5502373369229536,0.3865023158769619
"[16, 16]",Sigmoid,0.08517494996570367,0.2517380601511298,0.16845650505841675
"[32, 16]",ReLU,0.16212670808993596,0.24032297016361528,0.20122483912677563
"[32, 16]",Tanh,0.20031718134602325,0.6876707779573192,0.44399397965167126
"[32, 16]",Sigmoid,0.12268140564732759,0.4548059298389822,0.2887436677431549
"[32, 32]",ReLU,0.1291782403333262,0.41226445011539486,0.27072134522436053
"[32, 32]",Tanh,0.1285834680292168,0.7057420824716082,0.4171627752504125
"[32, 32]",Sigmoid,0.1637531949905415,0.4651219946596519,0.3144375948250967
"[16, 16, 16]",ReLU,0.1444117838177779,0.39561029188631314,0.2700110378520455
"[16, 16, 16]",Tanh,0.17729749186669966,0.5782354280021359,0.37776645993441776
"[16, 16, 16]",Sigmoid,0.0803488342677402,0.322647627296026,0.2014982307818831
"[16, 32, 16]",ReLU,0.15503297688837833,0.6454269424348703,0.40022995966162433
"[16, 32, 16]",Tanh,0.15375485041577944,0.4068623515909473,0.28030860100336336
"[16, 32, 16]",Sigmoid,0.057833218426160286,0.12922258373253662,0.09352790107934845
