point,L0Bar,L0Y,Class,true_Strength,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,true_Toughness,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,test
0,1.0,1.2,2,42.81570519421375,34.43001580200924,17.075295566211924,12.013564919575911,22.26287186684205,12.49989425697635,7.036955196523456,5.036337061163078,True
1,1.0,1.3,2,59.38278865114611,50.936713474056305,14.771315896646641,10.573969374450497,10.058174687361719,8.342565681722267,5.684969547366848,4.27834210550891,False
2,1.0,1.4,2,20.89585714361514,20.600044718368416,4.333830712147791,4.052315831929382,16.56761127473616,19.460487959182778,2.6843562664033955,2.596038944777849,False
3,1.0,1.8,3,18.49277387277017,22.42555016121802,8.703953857623045,6.782899740711297,14.049413234617568,15.910137931709425,4.416081732836968,3.566936209074519,False
4,1.0,1.9,3,71.31737127271622,48.76871245923725,21.760812715681336,14.941216454043484,22.800199024423442,21.027931471046205,4.130533483561526,3.4068426957434523,True
5,1.0,2.0,3,106.02724465602475,96.57023047320502,15.315423874547731,10.913944345324003,5.360247481788985,8.412206426678967,4.75076969188386,3.7545800533963796,False
6,1.0,2.1,3,102.31586665053233,102.27980539060557,6.694891911541882,5.527577627558648,5.1165813362992765,5.4127378525185375,2.781401483060362,2.650447647076009,False
7,1.0,2.2,3,100.54575565420733,99.70992777436844,2.7443004897369447,3.0591297126019406,4.83407354664049,5.01758632506273,1.2366504145520816,1.7843781600211,False
8,1.0,2.3,3,98.04053105918149,96.66356469469913,0.987406281771712,1.9613695593968532,4.160788629019243,5.033241485254078,1.0021513540564162,1.6529055330207774,False
9,1.0,2.4,3,94.62319761567007,94.88317536571972,1.1271606691750768,2.0486922889223163,4.847187637262277,4.818275258565806,0.6166928249976654,1.4367970108462464,False
10,1.0,2.5,3,92.99204719253044,93.87575888674712,1.5055086221872616,2.2850954286107967,5.218291403010326,4.648938296836898,0.5562013150742847,1.402882257823217,True
11,1.1,1.3,2,32.1657926883108,28.982007670274566,12.921252127288042,9.417994087103844,22.335185977271397,14.60034247749211,5.288744342166778,4.056197212897036,True
12,1.1,1.4,2,61.933831883918,55.92641584402637,15.277421258161398,10.890199171711773,2.7615194056182433,5.235668790843169,5.5686887302853645,4.213148904055853,False
13,1.1,1.5,2,20.16537021859946,21.66456887365974,3.828803157299784,3.7367594805740985,21.981828240884,20.019451485588547,1.8541767395531992,2.130596213168706,False
14,1.1,1.8,3,25.870520205273934,22.359974128014404,5.5396160619948525,4.805726654493124,14.0049283108389,14.915188841136217,5.114344377736945,3.958419330871036,False
15,1.1,1.9,3,17.2175256875071,20.484603002628408,6.403171195126466,5.34530178141298,14.799912443472774,16.158677340906717,4.275215954825132,3.4879593728752,False
16,1.1,2.0,3,61.38960058864802,54.30385195736435,12.706532005295703,9.28383051997164,22.726212344024198,21.40609931964466,2.580745453272052,2.537949220412966,False
17,1.1,2.1,3,99.8683907227732,97.57937782901601,9.445010113831428,7.245933898181184,6.0320034789695995,6.67246613420525,3.6471561438287416,3.135835688070297,False
18,1.1,2.2,3,96.10430348841847,99.8886408187194,3.4724154366789244,3.514077752206246,5.813020903903137,4.822333715211245,0.9374760953473213,1.6166451482395454,True
19,1.1,2.3,3,96.78376589038817,96.14381037319467,1.0761132160195563,2.0167963103581688,7.355559882552597,5.133515433387172,0.952504575243034,1.6250709121958467,False
20,1.1,2.4,3,93.87229119248633,94.27486717125481,0.917049092332933,1.9174082789126716,4.1169070132174665,4.880033022928138,0.6905956843683118,1.4782308786142322,False
21,1.1,2.5,3,91.92165931955867,93.39336299852424,1.3913276964935302,2.2137517643683053,4.122110394865796,4.659151935893528,0.7000600421498658,1.483537100216066,False
22,1.2,1.0,1,22.28778242646885,21.694422454816014,2.303109209052332,2.78346017844256,20.714414689313326,20.18868610054525,1.5243254935242347,1.945664087031001,False
23,1.2,1.4,2,23.16444205795815,25.638640007349995,9.787962575867223,7.460220874346071,17.8525156358467,15.715353265778816,4.0862802627330295,3.3820319899638642,False
24,1.2,1.5,2,63.332813736939954,59.403573259173506,10.29616025560655,7.777758014738394,1.82898508052785,3.6780902372517366,4.0619157631469385,3.3683719575553726,False
25,1.2,1.6,2,24.95659463756515,26.645482647783474,6.725158637947885,5.546489185275574,19.11475683793465,19.04342003145384,3.0424785502323983,2.7968213161137223,False
26,1.2,2.0,3,14.711327801764734,20.170598226170977,7.634012624104049,6.114368393118912,14.213846936187466,16.8403301361447,4.0810269700754,3.379086715110139,True
27,1.2,2.1,3,41.95254310380097,47.05488081906787,9.879454766290706,7.517387936836803,21.849868675161133,21.609713839999444,2.0369609117348606,2.233074727325681,False
28,1.2,2.2,3,94.71421913113033,95.49367986658235,1.260795628940379,2.1321914166674154,4.434601146470383,5.050481500991673,0.6160799073008084,1.4364533766347898,False
29,1.2,2.3,3,94.19984376701287,95.55695309332106,1.2362244794898243,2.1168386261220444,4.6685111413823535,4.907867176295165,0.5753671510937503,1.4136276433476214,False
30,1.2,2.4,3,93.48940821225624,93.69222114669529,1.8648509864419278,2.5096233068682716,3.98125478783674,5.052151541622591,0.9424848223111668,1.619453306577034,False
