point,Type,L0Bar,L0Y,IoU
3,Bar-dominant,1.4,1.1,0.8756722574878572
12,Bar-dominant,1.6,1.4,0.8796377967960735
13,Bar-dominant,1.6,1.2,0.8640820902023851
17,Bar-dominant,1.7,1.4,0.8287581904368098
24,Bar-dominant,1.8,1.6,0.9057843601849744
30,Bar-dominant,1.8,1.1,0.812611641968025
31,Bar-dominant,1.8,1.4,0.8212790784343019
32,Bar-dominant,1.9,1.2,0.8121148140623778
40,Bar-dominant,1.9,1.8,0.7814638429269556
43,Bar-dominant,2.0,1.8,0.9377924753932383
46,Bar-dominant,2.0,1.1,0.42237355552120315
64,Balanced,1.4,1.7,0.9177242453603202
66,Balanced,1.5,1.8,0.9182893614490294
70,Balanced,1.6,2.1,0.8986914349641738
72,Balanced,1.6,1.8,0.5923779622614485
75,Balanced,1.7,2.0,0.8998220235005107
77,Balanced,1.8,2.3,0.8956391320148859
80,Balanced,1.9,2.2,0.8342985202719116
94,Y-dominant,1.1,2.1,0.8491684331305916
95,Y-dominant,1.1,1.8,0.7058260798308885
101,Y-dominant,1.1,2.4,0.7592289383445822
103,Y-dominant,1.2,2.1,0.8944664724882874
110,Y-dominant,1.3,2.5,0.8748446701735046
115,Y-dominant,1.5,2.4,0.7790041510549279
116,Y-dominant,1.5,2.5,0.9090916826432665
