model,split,IoU
GPR,seed00,0.794877200554454
GPR,seed01,0.816639090226567
GPR,seed02,0.8051211539962093
GPR,seed03,0.7981133956053883
GPR,seed04,0.8213060989599422
GPR,seed05,0.8012635189199155
GPR,seed06,0.7892444682444112
GPR,seed07,0.8231660135314584
GPR,seed08,0.7895711458856433
GPR,seed09,0.7809685264718079
GPR,seed10,0.7987341089779557
GPR,seed11,0.7947573078945988
GPR,seed12,0.7994469452134149
GPR,seed13,0.7909679902123207
GPR,seed14,0.8147367361434212
GPR,seed15,0.8183107198014299
GPR,seed16,0.8084084053728714
GPR,seed17,0.7862173391006165
GPR,seed18,0.8308780339289812
GPR,seed19,0.7656108182255239
PRSM,seed00,0.6860019231550667
PRSM,seed01,0.6294471316955257
PRSM,seed02,0.6458107319631375
PRSM,seed03,0.657777689911583
PRSM,seed04,0.6560353069447392
PRSM,seed05,0.6390323427735553
PRSM,seed06,0.5641248379147402
PRSM,seed07,0.6470911884830685
PRSM,seed08,0.6263592859081435
PRSM,seed09,0.6495297562666142
PRSM,seed10,0.6468370158816289
PRSM,seed11,0.6687152442909167
PRSM,seed12,0.6630665138958068
PRSM,seed13,0.6478678238071615
PRSM,seed14,0.6648456697839684
PRSM,seed15,0.7014328752358372
PRSM,seed16,0.6477908063578314
PRSM,seed17,0.6467080835888339
PRSM,seed18,0.6451296719711652
PRSM,seed19,0.5942776193476674
RF,seed00,0.7625062728182219
RF,seed01,0.8016485907489814
RF,seed02,0.7647164374887883
RF,seed03,0.7967126942845226
RF,seed04,0.8006887738765857
RF,seed05,0.7727310502577214
RF,seed06,0.775244253022871
RF,seed07,0.7665681904668696
RF,seed08,0.752633256962086
RF,seed09,0.7775783014880311
RF,seed10,0.7847322444702404
RF,seed11,0.7439868805715076
RF,seed12,0.7879487573316122
RF,seed13,0.7721395050168899
RF,seed14,0.8116059514038922
RF,seed15,0.7982725321688919
RF,seed16,0.7896019199790386
RF,seed17,0.7642944996009232
RF,seed18,0.7715138710977185
RF,seed19,0.7685017598775227
k-NN,seed00,0.8012045599712873
k-NN,seed01,0.8272026242271536
k-NN,seed02,0.8207361704314837
k-NN,seed03,0.820210453789294
k-NN,seed04,0.8447253699531615
k-NN,seed05,0.7870487797978386
k-NN,seed06,0.8152057973145918
k-NN,seed07,0.8408569587359569
k-NN,seed08,0.8137452911935199
k-NN,seed09,0.800124229043352
k-NN,seed10,0.7802326869356065
k-NN,seed11,0.8144216594078285
k-NN,seed12,0.8110059493777911
k-NN,seed13,0.8237848796810678
k-NN,seed14,0.8267730219935694
k-NN,seed15,0.8242621676568299
k-NN,seed16,0.8307538261307742
k-NN,seed17,0.8135035051977604
k-NN,seed18,0.8324690721524383
k-NN,seed19,0.8025332553470427
